,1과 영어,1과 뜻,2과 영어,2과 뜻,3과 영어,3과 뜻,4과 영어,4과 뜻,5과 영어,5과 뜻,6과 영어,6과 뜻,7과 영어,7과 뜻,8과 영어,8과 뜻,9과 영어,9과 뜻,10과 영어,10과 뜻,11과 영어,11과 뜻,12과 영어,12과 뜻,13과 영어,13과 뜻,14과 영어,14과 뜻,15과 영어,15과 뜻,16과 영어,16과 뜻,17과 영어,17과 뜻,18과 영어,18과 뜻,19과 영어,19과 뜻,20과 영어,20과 뜻,21과 영어,21과 뜻,22과 영어,22과 뜻,23과 영어,23과 뜻,24과 영어,24과 뜻,25과 영어,25과 뜻
21,certify,"증명하다, 보증하다",evidence,"증거, 근거",strive,"노력하다, 애쓰다, 분투하다",fulfill,"성취하다, 달성하다; (약속을) 이행하다; 충족시키다, 만족시키다",prospect,"가망, 가능성; 예상; 전망",educational,"교육의, 교육적인",metaphor,"은유, 비유",occupy,차지하다; 거주하다; (군대 등이) 점령하다,comprise,~으로 구성되다; 구성[차지]하다,appoint,"임명하다, 지명하다; (시간 · 장소 등을) 정하다",bound,"꼭 ~할 것 같은; ~할 (법적) 의무가 있는; ~ 행(行)의; 껑충 뛰다; 경계를 이루다; 도약, 껑충 뜀",originate,"비롯하다, 유래하다; 고안하다, 창시하다",choir,"합창단, 성가대",split,"(견해 차이로) 분열되다; 나뉘다, 나누다; 결별하다; 분열; 분할, 몫",mainstream,"주류, 대세; 주류에 편입시키다",vessel,"(대형) 선박; 혈관; (액체를 담는) 그릇, 용기",prohibit,"금지하다, ~하지 못하게 하다",passionate,"열정적인, 열렬한",violate,"어기다, 위반하다; 침해하다",suspend,잠시 중단하다; 정직[정학]시키다; 매달다,furious,"몹시 화가 난, 격노한; 맹렬한",embody,"구체화[구현]하다, 상징하다; 포함하다, 담다",arbitrary,"임의의; 제멋대로의, 독단적인",literally,"문자 그대로, 말 그대로; 실제로",drain,"물을 빼내다; (시간 · 돈 · 힘 등을) 빼내 가다, 소모하다; 배수관"
22,ambiguous,"애매한, 모호한",particular,특정한; 특별한,chore,"(정기적으로 하는) 일, 가사(家事); 하기 싫은 일",current,"현재의, 지금의; (물 · 공기 등의) 흐름, 해류, 기류; 경향",proposition,"(사업상의) 제안; 일, 과제; 명제, 진술",support,지지하다; 지원[후원]하다; 지탱하다; 부양하다; 지지; 지원; 지탱함,tablet,"알약; 평판, 서판",perspective,"관점, 시각; 원근법; 전망",solitary,"외딴, 고독한; 혼자의, 혼자서 하는; 혼자 있기를 좋아하는",insight,"통찰력, 식견, 통찰",allot,"할당하다, 배당하다",organize,"준비하다; 정리하다, 배열하다; (단체를) 조직하다",mortgage,"담보대출(금), 주택 융자(금); 저당 잡히다",bias,"편견, 선입관; 성향; 편견을 갖게 하다",discrete,"별개의, 개별적인",appreciate,"감사하다; 이해하다, 인식하다; 진가를 알아보다, 인정하다",inward,"마음속의; 안쪽으로 향한; 마음속으로; 안쪽으로, 내부로",appeal,호소[간청]하다; 항소하다; 마음에 들다; 호소; 항소; 매력,gracious,"자애로운, 너그러운; 품위 있는, 우아한",domain,"영역, 범위; 소유지; 도메인",taboo,금지된; 피해야 할; 금기 (사항),conflict,"대립하다, 충돌하다; 갈등, 충돌; 싸움, 전투",preview,"시사회, 시연(試演); 예고편; 시연을 보이다, 시사회를 열다",illustrate,"(예시를 들어) 설명하다, 분명히 보여주다; 삽화를 넣다",vaccine,백신
23,commerce,"상업, 무역, 상거래",implicit,"암묵적인, 암시된, 내포된; (신뢰 등이) 절대적인, 무조건적인",active,"활동적인, 적극적인; (약효 · 물질이) 유효한",immerse,"(액체 속에) 담그다; 몰두하다, 몰두시키다",equivalent,"동등한, 맞먹는; 같은 것, 동등한 것",antique,골동품; 골동품인,strengthen,"강화하다, 강화되다",unity,"통합, 결속; 통일성",pollution,"오염, 공해; 오염 물질",alliance,"동맹, 협정; 동맹 단체, 연합회",sack,"자루; 해고, 파면; 해고하다",barely,"거의 ~ 않다; 간신히, 겨우",anchor,"닻; (뉴스의) 앵커, 진행자; ~을 단단히 고정시키다; 닻을 내리다",obscure,모호한; 잘 알려지지 않은; 모호하게 하다; 안 보이게 하다,domesticate,"(동물을) 길들이다, 사육하다; (작물을) 재배하다",sprint,"전력 질주하다; 단거리 경주, 전력 질주",exclude,"제외하다, 배제하다; (참여 · 출입 등을) 막다",habitual,습관적인; 상습적인,ritual,(종교적) 의식; 의례적인 일; 의식적인; 의례적인,hygiene,"위생, 위생 상태",candidate,"(선거) 후보자, 출마자; 지원자",vein,"정맥, 혈관; (식물의) 잎맥; 방식, 태도",clone,"복제, 클론; (생물을) 복제하다",systematize,"체계화하다, 조직화하다",retain,"유지하다, 보유하다; 기억하다"
24,individual,"개인; 개개의, 개인의; 개성적인, 독특한",efficient,"효율적인, 능률적인; 유능한",environment,(주변) 환경; 자연환경,praise,"칭찬하다, 높이 평가하다; 칭찬, 찬사",credit,"신뢰, 신용; 공로, 인정; (대학의) 학점; 믿다; ~의 공으로 인정하다",fabric,"직물, 천; 구조",instrument,"기구; 악기; 수단, 방법",hazard,위험 (요소); 위태롭게 하다,instance,"사례, 경우",deficiency,"결핍, 부족; 결함",significant,중요한; (수량 · 비율이) 상당한,adversity,"역경, 고난, 불운",frustrated,"좌절한, 짜증이 난, 불만스러운",draft,"원고, 초안; 징병; 초안을 작성하다; 징병하다",recommend,"권하다, 권고하다; 추천하다",scent,"향기, 냄새; 냄새를 맡다; (비밀 등을) 눈치채다",explore,"탐험하다, 탐사하다; 탐구하다",prehistoric,선사 시대의,graduate,졸업하다; (대학) 졸업생,inhibit,"억제하다, 저해하다; 못하게 하다",overwhelm,"압도하다, 휩싸다; 어쩔 줄 모르게 하다",pregnant,임신한,habitat,서식지,drought,가뭄,qualify,"자격이 있다, 자격을 얻다[주다]; 단서를 달다"
25,innovate,혁신하다; 도입하다,effect,"영향, 효과, 결과",motivate,"자극을 주다, 동기를 부여하다",relate,"관련이 있다, 관련짓다",intake,섭취(량); (채용 등의) 인원수,account,"설명; 계좌, 계정; 고려; 설명하다; (비율을) 차지하다",thereby,"그렇게 함으로써, 그것 때문에",context,"(어떤 일의) 전후 상황, 맥락; (글의) 맥락, 문맥",storage,"저장, 보관; 저장소, 보관소",potential,"잠재적인, 가능성이 있는; 가능성, 잠재력",attain,"획득하다, 이루다; (특정 수준 등에) 도달하다",review,검토하다; 비평하다; 복습하다; 검토; 비평; 복습,abandon,"버리다; 떠나다; 그만두다, 포기하다",represent,"대표하다; 대변하다; 상징하다, 나타내다",embed,"(단단히) 박다, 끼우다, 깊이 새겨 넣다",instruction,"설명(서); 지시; 가르침, 교육",flourish,"번영하다, 번창하다; 잘 자라다",relevant,"관련 있는, 적절한",segment,"부분; 조각; 나누다, 분할하다",annual,"매년의, 연례의; 연간의, 한 해의",continent,대륙,status,"(법적 · 사회적) 지위, 신분[자격]; (사물의) 상태",cosmetic,"화장품; 겉치레의, 허울뿐인; 성형의",contact,연락; 접촉; 연줄; 연락하다,shallow,"얕은; 얄팍한, 피상적인"
26,infinite,"무한한, 한계가 없는; 막대한, 매우 큰",willing,"기꺼이 ~하는; 자진해서 하는, 자발적인",utopian,"유토피아적인, 이상적인",authority,"권력, 권한; 당국; 권위",sharply,"날카롭게, 신랄하게; 급격히",barrier,"장애물, 장벽",erupt,"일어나다, 발발하다; 분출하다, 폭발하다; (감정을) 터뜨리다",meaningful,"의미 있는, 유의미한",patron,"후원자, 후원 단체",declare,"선언하다, 발표하다; 분명히 말하다; (세관 등에) 신고하다",inventory,물품 목록; 재고,cite,인용하다; (이유 · 예를) 들다,immortal,"죽지 않는, 불사의; 불멸의, 불후의",ashamed,"부끄러운, 창피한",verify,"(사실임을) 입증하다, 증명하다; (진실인지) 확인하다",dismiss,"무시하다, 일축하다; 해고하다; 해산시키다",leisurely,한가한; 느긋하게,refresh,생기를 되찾게 하다; (잔을) 다시 채우다; ~의 기억을 새롭게 하다,expedition,"원정(대), 탐험(대); (짧은) 여행",dispose,"처리하다, 처분하다; 배치하다",steer,"조종하다, 몰다; 나아가게 하다; 이끌다",mindset,사고방식,mash,으깨다; 으깬 감자(mashed potato),reconcile,"화해시키다; (두 가지 이상의 생각을) 조화시키다, 일치시키다",venue,"장소, 개최지"
27,distinguish,"구별하다, 식별하다, 분간하다",attentive,"주의를 기울이는; 배려하는, 신경을 쓰는",injure,"다치게 하다, 상처를 입히다",consolidate,"통합하다, 합병하다; (권력 등을) 굳건하게 하다, 강화하다",confine,"국한하다, 한정하다; 가두다, 감금하다",canal,"수로, 운하",entail,"수반하다, 포함하다",abrupt,"돌연한, 갑작스러운; 퉁명스러운",auditorium,"객석, 강당",pastime,"취미, 오락, 기분 전환",royal,"왕의, 왕실의; 왕립의; 왕족",endeavor,"노력, 시도; 노력하다, 애쓰다",spark,"불꽃; 기폭제; 촉발시키다, 유발하다; 불꽂을 일으키다",shiver,"(추위 · 공포 등으로) 떨다, 전율하다; 떨림, 전율",differ,"다르다, 차이가 있다; 의견이 다르다",hatred,"혐오, 증오",straightforward,"간단한, 쉬운; 솔직한",dialect,"방언, 사투리",execute,"처형하다; 실시하다, 실행하다",linkage,연결; 관련(성),interval,"간격; (어떤 일 가운데) 사이, 잠깐",pasture,"초원, 목초지; (가축이) 풀을 뜯게 하다",tragedy,"비극, 비극적인 일, 참사; 비극 작품",elicit,(반응을) 이끌어내다,aspire,"열망하다, 염원하다, 동경하다"
28,concern,"걱정하게 만들다; ~에 관한 것이다, 관련되다; 관심을 가지다; 걱정; 중요한 것, 관심사",fiction,"소설; 지어낸 일, 허구",fee,"요금, 수수료",intervene,"개입하다, 중재하다; (말하는 도중에) 끼어들다",advantage,"유리한 점, 이점, 장점",license,"면허(증), 인가(증); 허가하다",prefer,"(~을) 더 좋아하다, 선호하다",distinct,"뚜렷이 다른, 별개의; 뚜렷한, 분명한",measure,"측정하다, 재다; 평가하다; 단위, 척도; 조치",compose,"구성하다; 작곡하다; 쓰다, 작문하다",charity,"자선 단체; 구호품; 자선(행위), 자비심",reassure,안심시키다,maintain,"(수준 등을) 유지하다, 지키다; (건물 등을) 유지 관리하다; 주장하다",vacuum,"진공; 공백, 고립상태; (진공청소기로) 청소하다",decrease,"감소하다, 감소시키다; 감소",conceive,"상상하다; 생각해내다, 고민하다",progress,"진보, 발달; 진행; 진보하다, 발달하다; 진행되다",repertoire,"레퍼토리, 연주곡목",retail,소매(小賣); (특정 가격에) 팔리다; 소매하다,consent,"동의하다, 허락하다; 승낙, 동의; 합의",restrict,"제한하다, 한정하다",involuntary,"자기도 모르게 하는, 자발적이지 않은; 본의가 아닌",belong,"(~에) 속하다, (~에) 소속되다",monetary,"통화의, 화폐의; 금전(상)의, 재정(상)의",devote,"바치다, 헌신하다"
29,ceremony,"의식, 식; 격식, 형식",intensify,"심해지다, 강화하다",anthropology,인류학,merely,"단지, 한낱, 그저",disturb,방해하다; 불안하게 하다; 어지럽히다,craft,"(수)공예; 보트, 배; 기교, 기술; 정교하게 만들다",intuitive,"직감적인, 직관적인; 직감력이 있는, 감이 뛰어난",paradox,"역설적인 것[상황]; 역설(逆說), 모순",persuade,설득하다,extract,"뽑다, 추출하다; 발췌하다; 추출물; 발췌",desirable,"바람직한, 가치 있는",manifest,"나타내다, 드러내다; 명백한, 분명한",addict,중독자,obstacle,"장애(물), 방해(물)",ironic,"아이러니한, 모순적인; 비꼬는, 풍자적인",informal,"비공식적인; 격식을 차리지 않는, 편안한",margin,"여백; (득표 등의) 차이; 이윤; 가장자리, 끝",amphibian,양서류,textile,"직물, 옷감; 섬유 산업",rage,"분노, 격노; 몹시 화를 내다",drown,"익사하다, 익사시키다",overstate,과장하다,approximately,"거의, 대략",shortage,"부족, 결핍",coordinate,"조직하다, 조정하다; 조화되다, 조화시키다; 동등한"
30,fertilizer,비료,navigate,"길을 찾다; 항해하다, 비행하다; (힘든 일을) 처리하다",tomb,무덤,stance,"입장, 태도; (특히 스포츠에서) 자세",schema,"(간단한) 도식, (계획이나 이론의) 개요",intrude,"침입하다, 침해하다; 방해하다",diversify,"다각화하다, 다양화하다; 변화를 주다",offset,"상쇄하다, 벌충하다",passive,"소극적인, 수동적인; 순종적인; 수동태",iconic,"~의 상징이 되는, 우상의",authoritative,"권위 있는; 권위적인, 위압적인",discord,"불일치, 불화; 불협화음",hinder,"방해하다, 저해하다",ragged,"너덜너덜한, 해진; 누더기를 걸친; 울퉁불퉁한",transparent,"투명한; 명백한, 명료한",commonsense,"상식적인, 양식 있는",itinerary,"여행 일정표, 여행 계획",comply,"따르다, 응하다, 준수하다",excel,"뛰어나다, 탁월하다",indispensable,"필수적인, 없어서는 안 될",spine,"척추, 등뼈; 가시",arithmetic,"산수, 계산",hollow,"속이 빈; 움푹한, 우묵한; 움푹 들어간 곳",veil,"베일, 면사포; 베일을 씌우다, 가리다",reclaim,되찾다; 매립하다; 재활용하다
31,term,용어; 기간; 학기; 조건,stock,"재고(품); 비축물, 저장량; 주식; 가축; (상품의 재고를) 갖추다",benefit,"혜택, 이득; 보조금; 이익을 주다[얻다], ~에게 이롭다",archaeologist,고고학자,feature,"특징, 특색; 특집 기사; 이목구비; (~한) 특징을 이루다",beverage,음료,reflect,"반사하다; (거울 등에) 비치다, 비추다; 반영하다; 숙고하다",incentive,"장려(책), 보상물; 자극, 동기",frequent,"잦은, 빈번한; (장소에) 자주 다니다",profile,"(얼굴의) 옆모습; 프로필, 간략한 소개",obvious,"명백한, 분명한",irritated,짜증이 난; 따끔따끔한,fundamental,"근본적인, 본질적인; 핵심적인, 필수적인",raw,가공되지 않은; 날것의; 원초적인; 경험이 없는,relieve,"경감하다, 완화하다; 안도하다, 안심시키다",spectacle,"(인상적인) 장관, 광경; 구경거리, 행사",fascinating,"매력적인, 흥미로운",neuron,"뉴런, 신경 세포",grant,"(정식으로) 주다, 수여하다; 승인하다; 보조금, 지원금",stroke,"뇌졸중; (반복 운동의) 한 동작; 치기, 때리기; 쓰다듬다",perceive,"(~으로) 여기다; 감지하다, 인지하다",duration,지속 기간[시간],sufficient,충분한,kinship,"친족(임), 친족 관계; 연대감",concentrate,"(정신을) 집중하다; (한 곳에) 모으다, 집중되다; 농축하다"
32,occasion,"(어떤 일이 일어나는) 때, 경우; 행사; 원인, 이유",focus,"집중하다; 초점을 맞추다; 초점, 중점; 집중(력), 전념",precisely,정확히,introduce,"소개하다; 내놓다, 도입하다",desperate,"자포자기한, 절박한; 절망적인; 필사적인; 간절히 원하는",range,"(범위가 ~에) 이르다; 범위, 폭; 다양성; 산맥",gossip,"(남에 대한 좋지 못한) 소문, 험담; 험담을 하다",function,"기능, 작용, 역할; 기능하다, 작용하다",descend,"내려오다, 내려가다, 하강하다; (어둠이) 내려앉다",extreme,"극도의, 극심한; 극단적인; 맨 끝의; 극단(적인 상황)",complicated,"복잡한, 복잡하게 얽힌",constant,"규칙적으로 되풀이되는, 끊임없는; 일정한",activate,작동시키다; (화학 작용 등을) 활성화하다,accord,"일치하다, 부합하다; (권위 등을) 부여하다; 일치, 합의",infrastructure,사회기반시설,prior,"(시간 · 순서가) 전의, 사전의; (~보다) 우선하는",intermediate,중급의; 중간의; 중급자,submit,"제출하다; 굴복하다, 복종하다; 진술하다",subordinate,"부하, 하급자; (지위가) 하위의; 부수적인; 경시하다",assign,"할당하다, 배정하다, 부과[부여]하다; 선임하다, 임명하다",disclose,"밝히다, 폭로하다; 공개하다",apologize,사과하다,reckless,"무모한, 신중하지 못한",describe,"말하다, 서술하다, 묘사하다",pill,"알약, 정제"
33,subconscious,잠재의식의; 잠재의식,consequence,결과,ratio,"비(比), 비율",anticipate,"예상하다; 기대하다, 고대하다",empirical,"경험[실험]에 따른, 실증적인",authentic,"정통의, 진정한; 진품인, 진본인",correlation,"연관성, 상관관계",profound,"(영향 · 느낌 등이) 엄청난; 깊은, 심오한",escalate,"확대하다, 증가하다",panel,(사각형) 판; (공청회 등의) 토론인단,wrinkle,"(피부 · 옷의) 주름; 주름지다, 주름지게 하다",expenditure,"지출, 비용; 소비",grin,"활짝 웃다, 크게 웃다; 활짝 웃음",concrete,구체적인; 콘크리트로 된; 콘크리트,texture,"(직물의) 감촉; (음식의) 질감; 조화, 어우러짐",offspring,자식; (동물의) 새끼,reign,"통치 기간; 다스리다, 군림하다",subtle,"미묘한, 감지하기 어려운; 교묘한",egocentric,"자기중심의, 이기적인",accuse,"고발[고소]하다, 기소하다; 비난하다",rebellion,"반란; 반대, 저항",pave,(도로 등을) 포장하다,deforestation,삼림 벌채,competence,"능력, 능숙도, 역량",inscribe,"새기다, 써넣다"
34,material,"재료, 물질; (활동용) 자료; 소재; 물질적인, 물질의",contaminate,오염시키다; 악영향을 미치다,detail,"((~s)) 상세한 정보; 세부사항, 세부항목; 상세히 알리다",crude,"대충의, 대강의; 천연 그대로의",experiment,"실험, 시험; 실험하다, 시험하다",mutation,"돌연변이; 변화, 변형",generate,"발생시키다, 만들어 내다",brutal,"잔혹한, 악랄한, 잔인할 정도의",institute,"기관, 협회, (전문)학교; (제도 · 정책 등을) 도입하다",scroll,두루마리; (컴퓨터 화면을) 스크롤하다,argue,"주장하다; 말다툼하다, 언쟁하다",enlighten,"설명하다, 이해시키다; 계몽하다",indicate,"나타내다; 가리키다, 지시하다; 표시하다",sob,"흐느껴 울다; 흐느끼며 말하다; 흐느낌, 흐느껴 울기",trade,"거래, 무역; 거래하다, 무역하다; 교환하다",paralyze,마비시키다; 무력하게 만들다,manipulate,"(부정하게) 조작하다, 조종하다; 잘 다루다",diameter,지름,politics,정치; 정치적 견해; 정치학,minister,"장관, 각료; 성직자, 목사",proper,"적절한, 알맞은, 제대로 된",spike,못; (배구의) 스파이크; 못을 박다,recall,기억해 내다; 소환하다; 회수하다; 기억; 소환; 회수,envision,"마음속에 그리다, 구상하다",cultivate,"경작하다, 일구다; 재배하다; (재능 등을) 양성하다"
35,retrieval,"회수, 복구; 검색",collective,"공동 사업체; 집단의, 공동의",pound,"치다, 두드리다; 파운드 (화폐 · 무게 단위)",predator,"포식자, 포식 동물; 약탈자",drawback,"결점, 문제점",slight,"약간의, 조금의",conceptualize,개념화하다,rural,"시골의, 지방의, 전원의",discern,"알아차리다, 파악하다; 식별하다, 분간하다",exaggerate,과장하다,unrivaled,"경쟁자가 없는, 무적의",diagnose,진단하다; 원인을 밝혀내다,generic,"일반적인, 포괄적인",fluid,"액체, 유동체; 유동적인; (움직임이) 부드러운",superficial,"깊이 없는, 얄팍한; 피상적인, 표면적인",polish,"광나게 닦다, 다듬다; 광택제",apparatus,"기구, 장치; (정부 등의) 조직체",dramatically,"크게, 극적으로",earnestly,"진지하게, 진정으로; 열심히, 열성적으로",panic,공포에 질리다; (갑작스러운) 공포; 공황 상태,perish,"죽다; 사라지다, 소멸되다",sophisticated,"세련된, 교양 있는; 정교한, 복잡한",atypical,이례적인,empower,"~에게 권한을 주다, 힘을 갖게 하다",humility,겸손
36,quantity,"양, 수량; 다량",ascent,"오르기, 등반; 오르막(길); 상승, 향상",mess,"엉망(진창), 엉망인 상태; 엉망으로 만들다",deflate,"공기를 빼다; (기운 등을) 꺾다, 위축시키다; (경제를) 수축시키다",extend,"확장하다, 확대하다; 연장하다; (팔 등을) 뻗다",wander,"돌아다니다, 헤매다; (생각이) 다른 데로 흐르다, 산만해지다; 거닐기",marvel,"경이로워하다, 경탄하다; 경이(로운 사람[것])",attract,"끌다, 끌어모으다; 마음을 끌다, 매혹시키다",detach,"떼다; ~으로부터 거리를 두다, (상황에) 개입하지 않다",simulate,"흉내 내다, 가장하다, 모방하다; 모의실험을 하다",numerous,많은,neutral,"중립적인, 중립의; 중립",invention,"발명, 고안; 발명품",compliment,"찬사, 칭찬의 말; 경의; 칭찬하다",assume,"가정하다, 추정하다; (책임 · 역할 등을) 떠맡다",imaginary,"상상의, 가상의",capability,"능력, 재능, 역량",industrious,"근면한, 부지런한",popularity,인기,genuine,"진짜의, 진품의; 진실한, 진심의",detect,"발견하다, 알아내다, 감지하다",sociable,"사교적인, 사교에 능한",elect,(투표로) 선출하다; 당선된,electronic,전자의; 전자 공학의,uninterested,"흥미가 없는, 관심이 없는, 무관심한"
37,quality,"질; 양질, 우수; 자질, 특성; 양질의, 고급의",assent,"승인, 찬성; 동의하다, 찬성하다",mass,"덩어리; 대중; 다량, 다수; 질량; 대량의, 대중적인",inflate,"(공기나 가스로) 부풀리다, 부풀다; 과장하다; (가격을) 올리다",extent,"정도, 규모",wonder,궁금하다; 놀라다; 경이; 불가사의,marble,대리석; 구슬,distract,"(마음 · 주의를) 흐트러뜨리다, 산만하게 하다",attach,"붙이다, 첨부하다; ~에 애착을 느끼다; 연관되다, 연관 짓다",stimulate,자극하다; 흥미를 불러일으키다; 활성화하다,numerical,"수의, 수와 관련된, 숫자로 나타낸",neural,신경(계)의,convention,"대회, 협의회; 관습; 조약",complement,"보완하다, (더 좋아지게) 덧붙이다; 보완, 보완물",consume,"소비하다, 다 써버리다; 먹다, 마시다",imaginable,상상할 수 있는,capacity,"수용력; 용적, 용량; 능력",industrial,"산업의, 공업의; 공업용의",population,"인구수, 개체 수; 주민",genius,천재; 천재성; 특별한 재능,protect,"보호하다, 지키다; (보험 등이) 보장하다",social,"사회의, 사회적인; 사교의, 사교와 관련된",erect,(건조물을) 세우다; 확립하다; 똑바로 선,electrical,전기의; 전기를 이용하는,disinterested,"사심이 없는, 객관적인"
38,fluctuate,"(가격·양 등이) 변동하다, 오르내리다",surrender,"항복하다, 굴복하다; 넘겨주다; 항복, 굴복; 양도",cease,"중단되다, 중단시키다; 중지",personal,"(특정) 개인에 관한, 개인적인; 사적인",leak,"(액체 · 가스 등이) 새다; 누설하다; 새는 곳; 누출, 누설",expand,"커지다, 팽창하다, 팽창시키다; (사업 등을) 확장하다",permanent,영구적인,conceal,"감추다, 숨기다; 비밀로 하다",superior,"(~보다) 우수한, 우세한; 상급의, 상관의",credible,"믿을 수 있는, 신빙성 있는",induce,"설득하여 ~하게 하다, 유도하다; 유발하다, 야기하다",absorb,흡수하다; (정보를) 받아들이다,imitate,"모방하다, 본뜨다; (사람을) 흉내 내다",principle,"원리, 원칙; 신념, 신조, 행동방침",expire,"(기간이) 만료되다, 끝나다; 죽다",stationary,"움직이지 않는, 정지된",confident,확신하는; 자신감 있는,prey,"먹이; 희생(물); 잡아먹다, 희생물로 삼다",respectful,"존경심을 보이는, 공손한",conscience,양심; (양심의) 가책,sensible,"분별 있는, 현명한; (옷 등이) 실용적인; 인지하는",aboard,"(배 · 기차 · 비행기 등에) 탑승한, 승선한",vulnerable,"취약한, 연약한",absolute,"절대적인; 완전한, 완벽한; 완전, 순",intimate,"친밀한, 친숙한; 정통한; 사적인"
39,stabilize,"안정되다, 안정시키다",resist,"반대하다, 저항하다; 잘 견디다",continue,"계속되다, 계속하다",personnel,(조직의) 인원; (회사의) 인사과,lick,핥다; (불길 등이) 집어삼키다,expend,"(많은 돈 · 시간 · 에너지를) 쏟다, 들이다",temporary,임시의; 일시적인,reveal,"밝히다, 폭로하다; 보이다, 드러내다",inferior,"(~보다) 못한, 열등한; 하급의, 지위가 낮은",credulous,"잘 믿는, 잘 속는",deduce,"추론[추정]하다, 연역하다",absurd,"터무니없는, 황당한; 부조리",initiate,"시작하다, 착수하다; 전수하다, 가르치다",principal,"주요한, 주된; 중요한; 교장; 단체의 장(長)",inspire,"고무하다, 격려하다; 영감을 주다, (감정 · 사상을) 불어넣다",stationery,"문방구, 문구류",confidential,"비밀의, 기밀의",pray,"기도하다, 빌다; 간절히 바라다",respective,"각자의, 각각의",conscious,"의식하는, 지각하는; 의식이 있는",sensitive,"예민한, 민감한; 세심한, 배려심 많은",abroad,"해외에, 해외로",immune,면역(성)의; 영향을 받지 않는,relative,"상대적인, 비교 상의; 관련된; 친척; (동식물의) 동족",initial,"처음의, 초기의; 이름의 첫 글자, 이니셜"
